epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,22839,1.17208,1.34708,1.20455,0.58797,0.31415,0.31187,0.19184,1.41617,1.68308,1.37294,3.684e-05,3.684e-05,3.684e-05
72,23162.8,1.18165,1.33745,1.20132,0.55701,0.32114,0.3133,0.19208,1.41475,1.68586,1.38005,3.5652e-05,3.5652e-05,3.5652e-05
73,23486,1.167,1.34048,1.20348,0.51456,0.34261,0.30928,0.19106,1.41288,1.67705,1.37658,3.4464e-05,3.4464e-05,3.4464e-05
74,23817.6,1.16867,1.35491,1.20484,0.60113,0.31151,0.31511,0.19329,1.41112,1.68818,1.37524,3.3276e-05,3.3276e-05,3.3276e-05
75,24141.5,1.15609,1.32154,1.19634,0.57578,0.321,0.31358,0.19117,1.41175,1.67148,1.37386,3.2088e-05,3.2088e-05,3.2088e-05
76,24464,1.16873,1.32746,1.19965,0.60321,0.29844,0.31206,0.19284,1.41313,1.67572,1.37606,3.09e-05,3.09e-05,3.09e-05
77,24789.9,1.15974,1.32854,1.1955,0.55445,0.32467,0.31237,0.19071,1.41709,1.67214,1.37429,2.9712e-05,2.9712e-05,2.9712e-05
78,25114.3,1.16108,1.31874,1.20054,0.59513,0.30133,0.31521,0.19591,1.41151,1.6675,1.37559,2.8524e-05,2.8524e-05,2.8524e-05
79,25439.6,1.16543,1.33278,1.19973,0.57858,0.30995,0.31299,0.19156,1.41753,1.67487,1.37498,2.7336e-05,2.7336e-05,2.7336e-05
80,25763.3,1.1606,1.32206,1.19645,0.60191,0.31341,0.31759,0.19552,1.41467,1.6691,1.37627,2.6148e-05,2.6148e-05,2.6148e-05
81,26087.5,1.15316,1.30655,1.19418,0.59322,0.31134,0.31644,0.19524,1.41321,1.66775,1.37889,2.496e-05,2.496e-05,2.496e-05
82,26409.6,1.15162,1.31062,1.19403,0.59458,0.307,0.31634,0.19427,1.41283,1.67144,1.37341,2.3772e-05,2.3772e-05,2.3772e-05
83,26733.6,1.15154,1.29976,1.1921,0.57896,0.31019,0.31697,0.19393,1.41089,1.65641,1.37126,2.2584e-05,2.2584e-05,2.2584e-05
84,27056.3,1.14983,1.31404,1.19575,0.59395,0.30731,0.32137,0.19658,1.41624,1.66647,1.37866,2.1396e-05,2.1396e-05,2.1396e-05
85,27382.8,1.16153,1.30671,1.19843,0.60895,0.30822,0.31922,0.19526,1.41403,1.66492,1.37655,2.0208e-05,2.0208e-05,2.0208e-05
86,27706.9,1.15202,1.3033,1.19377,0.60415,0.30955,0.3159,0.19465,1.4201,1.66569,1.38074,1.902e-05,1.902e-05,1.902e-05
87,28031.3,1.13814,1.28463,1.18768,0.56039,0.31942,0.31618,0.19316,1.41925,1.65942,1.37521,1.7832e-05,1.7832e-05,1.7832e-05
88,28356.6,1.14698,1.29585,1.19596,0.57809,0.30748,0.31611,0.19418,1.41964,1.65956,1.37961,1.6644e-05,1.6644e-05,1.6644e-05
89,28680.7,1.15024,1.31011,1.19442,0.5786,0.31422,0.31934,0.19454,1.41821,1.65746,1.37722,1.5456e-05,1.5456e-05,1.5456e-05
90,29003.8,1.15114,1.28882,1.18972,0.57756,0.31257,0.31923,0.19561,1.41839,1.65547,1.37952,1.4268e-05,1.4268e-05,1.4268e-05
91,29320.5,1.2268,1.54223,1.26255,0.48541,0.30472,0.2922,0.17489,1.45836,1.74307,1.41946,1.308e-05,1.308e-05,1.308e-05
92,29637.6,1.18758,1.46007,1.23845,0.48633,0.31,0.29513,0.17821,1.44818,1.73107,1.40439,1.1892e-05,1.1892e-05,1.1892e-05
93,29955.4,1.16422,1.4052,1.22443,0.49488,0.31859,0.30384,0.18548,1.43279,1.70119,1.39431,1.0704e-05,1.0704e-05,1.0704e-05
94,30264.4,1.14415,1.38262,1.21197,0.51119,0.32366,0.30867,0.18744,1.42205,1.68877,1.38627,9.516e-06,9.516e-06,9.516e-06
95,30582.4,1.14707,1.38496,1.21283,0.48855,0.31583,0.30742,0.18764,1.42383,1.6911,1.3879,8.328e-06,8.328e-06,8.328e-06
96,30902,1.13782,1.36406,1.20596,0.49195,0.32568,0.30952,0.18834,1.41989,1.67585,1.38373,7.14e-06,7.14e-06,7.14e-06
97,31221.3,1.13807,1.36507,1.20676,0.52161,0.31844,0.31184,0.18958,1.42079,1.6795,1.38446,5.952e-06,5.952e-06,5.952e-06
98,31539,1.13525,1.36395,1.20842,0.52887,0.31023,0.30709,0.18764,1.41905,1.68083,1.3822,4.764e-06,4.764e-06,4.764e-06
99,31856.3,1.13241,1.35087,1.19854,0.52272,0.31398,0.31088,0.19018,1.4219,1.67309,1.38239,3.576e-06,3.576e-06,3.576e-06
100,32172.3,1.13067,1.35819,1.20252,0.52443,0.31543,0.3123,0.19074,1.41921,1.67253,1.38133,2.388e-06,2.388e-06,2.388e-06
