epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3686.25,0.96269,0.83328,1.08402,0.58245,0.39692,0.39909,0.24972,1.38299,1.47534,1.39242,7.71721e-05,7.71721e-05,7.71721e-05
84,3729.88,0.96561,0.83528,1.08967,0.60283,0.38245,0.39581,0.24616,1.38699,1.49381,1.39598,7.62741e-05,7.62741e-05,7.62741e-05
85,3774.58,0.96114,0.8378,1.09223,0.56771,0.41388,0.40286,0.25144,1.38695,1.45006,1.4003,7.53722e-05,7.53722e-05,7.53722e-05
86,3819.34,0.93842,0.79806,1.07304,0.59612,0.38992,0.40041,0.25065,1.37894,1.46073,1.38848,7.44667e-05,7.44667e-05,7.44667e-05
87,3863.53,0.95935,0.82036,1.08619,0.5275,0.42526,0.41138,0.25742,1.38199,1.50276,1.39117,7.35577e-05,7.35577e-05,7.35577e-05
88,3906.08,0.94064,0.79509,1.07546,0.598,0.38746,0.40216,0.25068,1.38671,1.4901,1.39323,7.26456e-05,7.26456e-05,7.26456e-05
89,3950.42,0.93105,0.78593,1.07444,0.58109,0.38223,0.40121,0.25083,1.37288,1.49073,1.38682,7.17305e-05,7.17305e-05,7.17305e-05
90,3994.41,0.95554,0.82654,1.08155,0.57575,0.3981,0.41224,0.25394,1.3857,1.47743,1.39363,7.08126e-05,7.08126e-05,7.08126e-05
91,4039.15,0.96017,0.83234,1.09061,0.58761,0.41127,0.41327,0.25592,1.3933,1.47382,1.40422,6.98922e-05,6.98922e-05,6.98922e-05
92,4083.81,0.9265,0.78903,1.0713,0.63516,0.38286,0.40432,0.25223,1.38926,1.50969,1.39531,6.89695e-05,6.89695e-05,6.89695e-05
93,4127.79,0.94302,0.80368,1.07888,0.54492,0.42473,0.4056,0.25368,1.37981,1.48908,1.39191,6.80448e-05,6.80448e-05,6.80448e-05
94,4171.45,0.92827,0.78264,1.06918,0.57227,0.42084,0.41129,0.2563,1.38597,1.46213,1.39575,6.71182e-05,6.71182e-05,6.71182e-05
95,4216.41,0.91774,0.77361,1.06239,0.56141,0.40153,0.40537,0.25551,1.38978,1.53081,1.39816,6.619e-05,6.619e-05,6.619e-05
96,4260.86,0.91911,0.77867,1.0652,0.59122,0.39587,0.40134,0.25173,1.38584,1.50762,1.39858,6.52605e-05,6.52605e-05,6.52605e-05
97,4306.72,0.92776,0.79113,1.06966,0.62801,0.38851,0.40121,0.25523,1.38787,1.4758,1.39819,6.43298e-05,6.43298e-05,6.43298e-05
98,4353.45,0.93487,0.79046,1.07605,0.53212,0.43134,0.40163,0.2541,1.38962,1.49185,1.39803,6.33981e-05,6.33981e-05,6.33981e-05
99,4397.43,0.92133,0.78404,1.0681,0.60184,0.41487,0.39939,0.24966,1.40366,1.50219,1.41562,6.24658e-05,6.24658e-05,6.24658e-05
100,4442.65,0.91491,0.76739,1.06481,0.52786,0.42165,0.39616,0.24595,1.39557,1.51939,1.40471,6.1533e-05,6.1533e-05,6.1533e-05
101,130.516,0.91072,0.75705,1.0589,0.60983,0.38464,0.4096,0.25408,1.39275,1.49663,1.40174,6.06e-05,6.06e-05,6.06e-05
102,260.603,0.92601,0.78512,1.07113,0.51431,0.42273,0.38992,0.2441,1.38516,1.50119,1.39187,5.9667e-05,5.9667e-05,5.9667e-05
103,367.23,0.91199,0.76567,1.0639,0.58115,0.40218,0.40793,0.2547,1.38108,1.48942,1.39547,5.87342e-05,5.87342e-05,5.87342e-05
104,538.932,0.91522,0.76226,1.06685,0.51752,0.42613,0.4032,0.25483,1.38973,1.47597,1.39906,5.78019e-05,5.78019e-05,5.78019e-05
105,621.776,0.92656,0.80024,1.07912,0.59624,0.42075,0.40524,0.255,1.38587,1.47741,1.39279,5.68702e-05,5.68702e-05,5.68702e-05
106,699.16,0.91873,0.77588,1.06759,0.57061,0.41297,0.40004,0.25754,1.38661,1.48612,1.38944,5.59395e-05,5.59395e-05,5.59395e-05
107,837.132,0.91232,0.77661,1.06551,0.55026,0.40245,0.41218,0.26228,1.38434,1.49764,1.38864,5.501e-05,5.501e-05,5.501e-05
108,999.255,0.91594,0.76907,1.06383,0.53423,0.42432,0.41291,0.26353,1.38981,1.49214,1.40489,5.40818e-05,5.40818e-05,5.40818e-05
109,1147.57,0.92233,0.78006,1.06489,0.52881,0.41127,0.40523,0.257,1.39879,1.52407,1.40689,5.31552e-05,5.31552e-05,5.31552e-05
110,1309.1,0.89832,0.7503,1.05035,0.53264,0.42082,0.4,0.25314,1.39039,1.52277,1.40045,5.22305e-05,5.22305e-05,5.22305e-05
111,1468.6,0.88508,0.73223,1.0469,0.51653,0.39901,0.39685,0.25497,1.38855,1.52661,1.40336,5.13078e-05,5.13078e-05,5.13078e-05
112,81.0113,0.79236,0.64136,1.0083,0.51763,0.41534,0.39637,0.25331,1.40315,1.55141,1.42813,5.03874e-05,5.03874e-05,5.03874e-05
113,171.726,0.80259,0.66389,1.01733,0.54129,0.40281,0.38529,0.24593,1.3988,1.57022,1.42607,4.94695e-05,4.94695e-05,4.94695e-05
114,264.654,0.78347,0.64762,1.00788,0.61409,0.37315,0.39213,0.24857,1.4015,1.61641,1.43028,4.85544e-05,4.85544e-05,4.85544e-05
115,352.046,0.78915,0.64352,1.01279,0.53732,0.39934,0.39569,0.25362,1.40188,1.56302,1.4319,4.76423e-05,4.76423e-05,4.76423e-05
116,431.025,0.80122,0.67479,1.02198,0.57663,0.39614,0.39404,0.2488,1.40943,1.60322,1.44097,4.67333e-05,4.67333e-05,4.67333e-05
117,514.409,0.79692,0.65685,1.0143,0.61032,0.39732,0.39777,0.24989,1.40945,1.5987,1.43257,4.58278e-05,4.58278e-05,4.58278e-05
118,603.28,0.7933,0.66189,1.01508,0.56181,0.39269,0.39869,0.24829,1.40802,1.59349,1.43389,4.49259e-05,4.49259e-05,4.49259e-05
119,685.077,0.80309,0.66017,1.01443,0.57782,0.40343,0.39378,0.24951,1.4103,1.60219,1.44158,4.40279e-05,4.40279e-05,4.40279e-05
120,768.781,0.8089,0.67139,1.01622,0.5479,0.39702,0.3905,0.24673,1.4255,1.63047,1.44902,4.3134e-05,4.3134e-05,4.3134e-05
121,847.703,0.78066,0.6418,1.00041,0.55859,0.39353,0.39365,0.24718,1.41691,1.62478,1.44473,4.22444e-05,4.22444e-05,4.22444e-05
122,924.73,0.77991,0.63155,1.0029,0.55912,0.38526,0.39598,0.24841,1.42335,1.636,1.45405,4.13593e-05,4.13593e-05,4.13593e-05
123,1000.98,0.88347,0.72199,1.04739,0.60473,0.38106,0.39909,0.24894,1.40803,1.56262,1.42981,4.0479e-05,4.0479e-05,4.0479e-05
124,1076.62,0.89779,0.75268,1.05852,0.57792,0.38958,0.40245,0.25254,1.40674,1.51857,1.42093,3.96036e-05,3.96036e-05,3.96036e-05
125,1154.57,0.89539,0.74828,1.05599,0.58075,0.39432,0.40104,0.25077,1.40225,1.52197,1.42476,3.87334e-05,3.87334e-05,3.87334e-05
126,1271.01,0.88546,0.72633,1.0478,0.58479,0.38436,0.3959,0.2514,1.39258,1.5577,1.41313,3.78686e-05,3.78686e-05,3.78686e-05
127,1410.45,0.89217,0.74427,1.05719,0.57372,0.38888,0.39845,0.25177,1.39446,1.55533,1.41826,3.70094e-05,3.70094e-05,3.70094e-05
128,1553.45,0.88419,0.74901,1.05372,0.55521,0.39968,0.40141,0.2531,1.39847,1.51609,1.41928,3.6156e-05,3.6156e-05,3.6156e-05
129,1684.6,0.87381,0.7256,1.04705,0.54573,0.39685,0.40245,0.25537,1.38946,1.5071,1.41632,3.53087e-05,3.53087e-05,3.53087e-05
130,1827.68,0.87712,0.70919,1.04477,0.56505,0.41044,0.40631,0.2589,1.39825,1.53983,1.4175,3.44676e-05,3.44676e-05,3.44676e-05
131,1970.33,0.87077,0.73229,1.04594,0.59354,0.38688,0.40732,0.25973,1.39359,1.50696,1.40883,3.3633e-05,3.3633e-05,3.3633e-05
132,2066.75,0.87696,0.72862,1.04909,0.5474,0.40109,0.40291,0.2559,1.40447,1.53095,1.42467,3.2805e-05,3.2805e-05,3.2805e-05
133,2164.28,0.86257,0.70764,1.03589,0.58705,0.39967,0.40594,0.25354,1.39871,1.54783,1.41756,3.19838e-05,3.19838e-05,3.19838e-05
134,2330.56,0.86785,0.71784,1.04183,0.59695,0.38806,0.39977,0.25362,1.40463,1.546,1.4208,3.11698e-05,3.11698e-05,3.11698e-05
135,2443.33,0.88097,0.73981,1.04851,0.53843,0.41289,0.40865,0.25758,1.40449,1.52935,1.4231,3.03629e-05,3.03629e-05,3.03629e-05
136,2521.08,0.85026,0.69629,1.02964,0.56695,0.39929,0.40467,0.25444,1.40394,1.53904,1.41989,2.95636e-05,2.95636e-05,2.95636e-05
137,2613.11,0.87217,0.71889,1.04352,0.51335,0.43131,0.40132,0.25344,1.39606,1.53558,1.41915,2.87719e-05,2.87719e-05,2.87719e-05
138,2688.84,0.87384,0.7286,1.04551,0.55629,0.42362,0.40087,0.25374,1.40482,1.54263,1.42756,2.7988e-05,2.7988e-05,2.7988e-05
139,2764.08,0.84729,0.69543,1.03224,0.59401,0.39311,0.39993,0.25169,1.40187,1.54351,1.42395,2.72122e-05,2.72122e-05,2.72122e-05
140,2840.81,0.86135,0.70794,1.03541,0.58108,0.39429,0.40665,0.25631,1.39873,1.54158,1.41962,2.64447e-05,2.64447e-05,2.64447e-05
141,2960.28,0.875,0.72437,1.04214,0.55932,0.40466,0.40473,0.25487,1.40426,1.53939,1.42317,2.56856e-05,2.56856e-05,2.56856e-05
142,3037.33,0.85864,0.7023,1.0376,0.59718,0.38913,0.39921,0.25479,1.40494,1.54378,1.42251,2.4935e-05,2.4935e-05,2.4935e-05
143,3113.3,0.86102,0.71165,1.04156,0.58646,0.39719,0.3987,0.25515,1.40499,1.5448,1.4261,2.41933e-05,2.41933e-05,2.41933e-05
144,3189.65,0.85932,0.71305,1.03922,0.55454,0.40669,0.40408,0.25554,1.39367,1.52943,1.41603,2.34606e-05,2.34606e-05,2.34606e-05
